region,scenario,landuse,year,LU_frac
China,Reference,biomass,1990,0
China,Reference,crops,1990,1179.307076
China,Reference,forest (managed),1990,304.1711473
China,Reference,forest (unmanaged),1990,1061.247068
China,Reference,grass,1990,921.7964665
China,Reference,otherarable,1990,126.2978219
China,Reference,pasture (grazed),1990,197.8223777
China,Reference,pasture (other),1990,3798.436471
China,Reference,rock and desert,1990,777.4937603
China,Reference,shrubs,1990,570.3989405
China,Reference,tundra,1990,324.6216654
China,Reference,urban,1990,31.51452405
Taiwan,Reference,biomass,1990,0
Taiwan,Reference,crops,1990,4.904049944
Taiwan,Reference,forest (managed),1990,0
Taiwan,Reference,forest (unmanaged),1990,19.83360367
Taiwan,Reference,grass,1990,2.09322
Taiwan,Reference,otherarable,1990,0
Taiwan,Reference,pasture (grazed),1990,0.701042604
Taiwan,Reference,pasture (other),1990,6.154561411
Taiwan,Reference,shrubs,1990,0.1407499
Taiwan,Reference,urban,1990,1.47277
Global,Reference,biomass,1990,0
Global,Reference,crops,1990,10903.06589
Global,Reference,forest (managed),1990,2695.617796
Global,Reference,forest (unmanaged),1990,27546.52216
Global,Reference,grass,1990,19999.3721
Global,Reference,otherarable,1990,4218.768176
Global,Reference,pasture (grazed),1990,1827.90225
Global,Reference,pasture (other),1990,30821.98928
Global,Reference,rock and desert,1990,14928.54425
Global,Reference,shrubs,1990,11822.6451
Global,Reference,tundra,1990,6552.30067
Global,Reference,urban,1990,369.5214763
China,Reference,biomass,2005,0
China,Reference,crops,2005,1186.485026
China,Reference,forest (managed),2005,244.2920956
China,Reference,forest (unmanaged),2005,1115.684596
China,Reference,grass,2005,981.636706
China,Reference,otherarable,2005,120.3904353
China,Reference,pasture (grazed),2005,399.9628298
China,Reference,pasture (other),2005,3524.628805
China,Reference,rock and desert,2005,775.864567
China,Reference,shrubs,2005,573.5316256
China,Reference,tundra,2005,323.5928799
China,Reference,urban,2005,47.03955769
Taiwan,Reference,biomass,2005,0
Taiwan,Reference,crops,2005,4.902870468
Taiwan,Reference,forest (managed),2005,0
Taiwan,Reference,forest (unmanaged),2005,18.82631389
Taiwan,Reference,grass,2005,1.867779
Taiwan,Reference,otherarable,2005,0
Taiwan,Reference,pasture (grazed),2005,0.559254872
Taiwan,Reference,pasture (other),2005,7.158102123
Taiwan,Reference,shrubs,2005,0.057568
Taiwan,Reference,urban,2005,1.92812
Global,Reference,biomass,2005,0
Global,Reference,crops,2005,11244.28251
Global,Reference,forest (managed),2005,2657.78827
Global,Reference,forest (unmanaged),2005,27412.84865
Global,Reference,grass,2005,20068.8827
Global,Reference,otherarable,2005,3971.196721
Global,Reference,pasture (grazed),2005,2152.130546
Global,Reference,pasture (other),2005,30779.31078
Global,Reference,rock and desert,2005,14731.21223
Global,Reference,shrubs,2005,11797.34292
Global,Reference,tundra,2005,6388.032747
Global,Reference,urban,2005,483.2186652
China,Reference,biomass,2010,0
China,Reference,crops,2010,1144.410293
China,Reference,forest (managed),2010,274.2104071
China,Reference,forest (unmanaged),2010,1129.384408
China,Reference,grass,2010,1002.923587
China,Reference,otherarable,2010,79.2307266
China,Reference,pasture (grazed),2010,443.9630132
China,Reference,pasture (other),2010,3481.319777
China,Reference,rock and desert,2010,777.287726
China,Reference,shrubs,2010,582.1462318
China,Reference,tundra,2010,323.7860799
China,Reference,urban,2010,54.44930769
Taiwan,Reference,biomass,2010,0
Taiwan,Reference,crops,2010,4.903232433
Taiwan,Reference,forest (managed),2010,0
Taiwan,Reference,forest (unmanaged),2010,18.68191411
Taiwan,Reference,grass,2010,1.833384
Taiwan,Reference,otherarable,2010,0
Taiwan,Reference,pasture (grazed),2010,0.53869277
Taiwan,Reference,pasture (other),2010,7.176776233
Taiwan,Reference,shrubs,2010,0.0961233
Taiwan,Reference,urban,2010,2.06988
Global,Reference,biomass,2010,0
Global,Reference,crops,2010,11503.16141
Global,Reference,forest (managed),2010,2578.045671
Global,Reference,forest (unmanaged),2010,27446.71379
Global,Reference,grass,2010,19980.20684
Global,Reference,otherarable,2010,3761.724583
Global,Reference,pasture (grazed),2010,2299.025045
Global,Reference,pasture (other),2010,30730.55176
Global,Reference,rock and desert,2010,14728.72892
Global,Reference,shrubs,2010,11770.24557
Global,Reference,tundra,2010,6360.181495
Global,Reference,urban,2010,527.6758921
China,Reference,biomass,2015,0
China,Reference,crops,2015,1159.972505
China,Reference,forest (managed),2015,270.7573517
China,Reference,forest (unmanaged),2015,1133.950812
China,Reference,grass,2015,1003.833955
China,Reference,otherarable,2015,55.7315676
China,Reference,pasture (grazed),2015,439.178618
China,Reference,pasture (other),2015,3485.414535
China,Reference,rock and desert,2015,778.149986
China,Reference,shrubs,2015,582.6696857
China,Reference,tundra,2015,323.5781199
China,Reference,urban,2015,59.8724267
Taiwan,Reference,biomass,2015,0
Taiwan,Reference,crops,2015,4.903958434
Taiwan,Reference,forest (managed),2015,0
Taiwan,Reference,forest (unmanaged),2015,18.74980411
Taiwan,Reference,grass,2015,1.717378
Taiwan,Reference,otherarable,2015,0
Taiwan,Reference,pasture (grazed),2015,0.536276169
Taiwan,Reference,pasture (other),2015,7.179653833
Taiwan,Reference,shrubs,2015,0.03947545
Taiwan,Reference,urban,2015,2.17347
Global,Reference,biomass,2015,0
Global,Reference,crops,2015,11878.13065
Global,Reference,forest (managed),2015,2730.356965
Global,Reference,forest (unmanaged),2015,27145.09957
Global,Reference,grass,2015,19752.02904
Global,Reference,otherarable,2015,3957.542104
Global,Reference,pasture (grazed),2015,2321.388074
Global,Reference,pasture (other),2015,30442.15032
Global,Reference,rock and desert,2015,14720.50955
Global,Reference,shrubs,2015,11820.14897
Global,Reference,tundra,2015,6343.401295
Global,Reference,urban,2015,575.4869527
China,Reference,biomass,2020,1.569721606
China,Reference,crops,2020,1174.034761
China,Reference,forest (managed),2020,279.5470356
China,Reference,forest (unmanaged),2020,1124.772371
China,Reference,grass,2020,998.338008
China,Reference,otherarable,2020,52.01240876
China,Reference,pasture (grazed),2020,477.101187
China,Reference,pasture (other),2020,3444.502326
China,Reference,rock and desert,2020,778.149986
China,Reference,shrubs,2020,579.6314486
China,Reference,tundra,2020,323.5781199
China,Reference,urban,2020,59.8724267
Taiwan,Reference,biomass,2020,0.002573707
Taiwan,Reference,crops,2020,4.865901464
Taiwan,Reference,forest (managed),2020,0
Taiwan,Reference,forest (unmanaged),2020,18.75211827
Taiwan,Reference,grass,2020,1.71759
Taiwan,Reference,otherarable,2020,0
Taiwan,Reference,pasture (grazed),2020,0.573330019
Taiwan,Reference,pasture (other),2020,7.17555203
Taiwan,Reference,shrubs,2020,0.03948032
Taiwan,Reference,urban,2020,2.17347
Global,Reference,biomass,2020,156.9239141
Global,Reference,crops,2020,12043.28959
Global,Reference,forest (managed),2020,2870.931319
Global,Reference,forest (unmanaged),2020,27022.50084
Global,Reference,grass,2020,19692.84326
Global,Reference,otherarable,2020,3752.665792
Global,Reference,pasture (grazed),2020,2457.143686
Global,Reference,pasture (other),2020,30259.02462
Global,Reference,rock and desert,2020,14720.50955
Global,Reference,shrubs,2020,11791.52279
Global,Reference,tundra,2020,6343.401295
Global,Reference,urban,2020,575.4869527
China,Reference,biomass,2025,1.498642167
China,Reference,crops,2025,1184.027021
China,Reference,forest (managed),2025,345.2982449
China,Reference,forest (unmanaged),2025,1100.60088
China,Reference,grass,2025,985.795375
China,Reference,otherarable,2025,43.89364348
China,Reference,pasture (grazed),2025,516.6259366
China,Reference,pasture (other),2025,3380.611438
China,Reference,rock and desert,2025,778.149986
China,Reference,shrubs,2025,573.1577282
China,Reference,tundra,2025,323.5781199
China,Reference,urban,2025,59.8724267
Taiwan,Reference,biomass,2025,0.002225801
Taiwan,Reference,crops,2025,4.722717035
Taiwan,Reference,forest (managed),2025,0
Taiwan,Reference,forest (unmanaged),2025,18.90442661
Taiwan,Reference,grass,2025,1.712027
Taiwan,Reference,otherarable,2025,0
Taiwan,Reference,pasture (grazed),2025,0.64197924
Taiwan,Reference,pasture (other),2025,7.103835961
Taiwan,Reference,shrubs,2025,0.03934018
Taiwan,Reference,urban,2025,2.17347
Global,Reference,biomass,2025,127.255818
Global,Reference,crops,2025,11963.89928
Global,Reference,forest (managed),2025,3002.202504
Global,Reference,forest (unmanaged),2025,27415.15556
Global,Reference,grass,2025,19632.51047
Global,Reference,otherarable,2025,3462.431796
Global,Reference,pasture (grazed),2025,2506.083314
Global,Reference,pasture (other),2025,30217.22679
Global,Reference,rock and desert,2025,14720.50955
Global,Reference,shrubs,2025,11720.07955
Global,Reference,tundra,2025,6343.401295
Global,Reference,urban,2025,575.4869527
China,Reference,biomass,2030,1.945573699
China,Reference,crops,2030,1173.53106
China,Reference,forest (managed),2030,366.9930352
China,Reference,forest (unmanaged),2030,1094.412304
China,Reference,grass,2030,982.210006
China,Reference,otherarable,2030,41.75795007
China,Reference,pasture (grazed),2030,541.897828
China,Reference,pasture (other),2030,3357.78128
China,Reference,rock and desert,2030,778.149986
China,Reference,shrubs,2030,570.9800966
China,Reference,tundra,2030,323.5781199
China,Reference,urban,2030,59.8724267
Taiwan,Reference,biomass,2030,0.003253441
Taiwan,Reference,crops,2030,4.662949849
Taiwan,Reference,forest (managed),2030,0
Taiwan,Reference,forest (unmanaged),2030,18.9159451
Taiwan,Reference,grass,2030,1.71297
Taiwan,Reference,otherarable,2030,0
Taiwan,Reference,pasture (grazed),2030,0.686989169
Taiwan,Reference,pasture (other),2030,7.105073655
Taiwan,Reference,shrubs,2030,0.03936179
Taiwan,Reference,urban,2030,2.17347
Global,Reference,biomass,2030,154.1469289
Global,Reference,crops,2030,12046.59221
Global,Reference,forest (managed),2030,3171.576009
Global,Reference,forest (unmanaged),2030,27278.9279
Global,Reference,grass,2030,19601.23815
Global,Reference,otherarable,2030,3340.813759
Global,Reference,pasture (grazed),2030,2657.361419
Global,Reference,pasture (other),2030,30099.10624
Global,Reference,rock and desert,2030,14720.50955
Global,Reference,shrubs,2030,11697.08668
Global,Reference,tundra,2030,6343.401295
Global,Reference,urban,2030,575.4869527
China,Reference,biomass,2035,2.645100105
China,Reference,crops,2035,1160.41856
China,Reference,forest (managed),2035,384.86656
China,Reference,forest (unmanaged),2035,1089.514113
China,Reference,grass,2035,978.7543061
China,Reference,otherarable,2035,39.71514496
China,Reference,pasture (grazed),2035,528.7972917
China,Reference,pasture (other),2035,3378.067521
China,Reference,rock and desert,2035,778.149986
China,Reference,shrubs,2035,568.7305533
China,Reference,tundra,2035,323.5781199
China,Reference,urban,2035,59.8724267
Taiwan,Reference,biomass,2035,0.000750792
Taiwan,Reference,crops,2035,3.172129916
Taiwan,Reference,forest (managed),2035,0
Taiwan,Reference,forest (unmanaged),2035,20.53595667
Taiwan,Reference,grass,2035,1.74626
Taiwan,Reference,otherarable,2035,0
Taiwan,Reference,pasture (grazed),2035,0.251028282
Taiwan,Reference,pasture (other),2035,7.380366717
Taiwan,Reference,shrubs,2035,0.04004537
Taiwan,Reference,urban,2035,2.17347
Global,Reference,biomass,2035,199.8370029
Global,Reference,crops,2035,12196.35696
Global,Reference,forest (managed),2035,3297.772918
Global,Reference,forest (unmanaged),2035,27203.17012
Global,Reference,grass,2035,19552.81353
Global,Reference,otherarable,2035,3154.847486
Global,Reference,pasture (grazed),2035,2799.469823
Global,Reference,pasture (other),2035,29977.82088
Global,Reference,rock and desert,2035,14720.50955
Global,Reference,shrubs,2035,11664.75621
Global,Reference,tundra,2035,6343.401295
Global,Reference,urban,2035,575.4869527
China,Reference,biomass,2040,3.957636365
China,Reference,crops,2040,1142.562537
China,Reference,forest (managed),2040,407.5442051
China,Reference,forest (unmanaged),2040,1086.597304
China,Reference,grass,2040,976.9317715
China,Reference,otherarable,2040,38.8328564
China,Reference,pasture (grazed),2040,534.7851653
China,Reference,pasture (other),2040,3372.562869
China,Reference,rock and desert,2040,778.149986
China,Reference,shrubs,2040,567.7349501
China,Reference,tundra,2040,323.5781199
China,Reference,urban,2040,59.8724267
Taiwan,Reference,biomass,2040,0.000622893
Taiwan,Reference,crops,2040,2.505910311
Taiwan,Reference,forest (managed),2040,0
Taiwan,Reference,forest (unmanaged),2040,21.10999437
Taiwan,Reference,grass,2040,1.765283
Taiwan,Reference,otherarable,2040,0
Taiwan,Reference,pasture (grazed),2040,0.145978279
Taiwan,Reference,pasture (other),2040,7.55830398
Taiwan,Reference,shrubs,2040,0.04045666
Taiwan,Reference,urban,2040,2.17347
Global,Reference,biomass,2040,282.102658
Global,Reference,crops,2040,12316.65505
Global,Reference,forest (managed),2040,3415.248684
Global,Reference,forest (unmanaged),2040,27114.49933
Global,Reference,grass,2040,19506.8622
Global,Reference,otherarable,2040,2982.358756
Global,Reference,pasture (grazed),2040,2957.89071
Global,Reference,pasture (other),2040,29839.3207
Global,Reference,rock and desert,2040,14720.50955
Global,Reference,shrubs,2040,11631.90885
Global,Reference,tundra,2040,6343.401295
Global,Reference,urban,2040,575.4869527
China,Reference,biomass,2045,7.476759931
China,Reference,crops,2045,1120.043444
China,Reference,forest (managed),2045,434.5567411
China,Reference,forest (unmanaged),2045,1083.695715
China,Reference,grass,2045,975.2977635
China,Reference,otherarable,2045,38.06605966
China,Reference,pasture (grazed),2045,537.1209616
China,Reference,pasture (other),2045,3368.342157
China,Reference,rock and desert,2045,778.149986
China,Reference,shrubs,2045,566.9104179
China,Reference,tundra,2045,323.5781199
China,Reference,urban,2045,59.8724267
Taiwan,Reference,biomass,2045,0.000802427
Taiwan,Reference,crops,2045,2.138133378
Taiwan,Reference,forest (managed),2045,0
Taiwan,Reference,forest (unmanaged),2045,21.40089407
Taiwan,Reference,grass,2045,1.776189
Taiwan,Reference,otherarable,2045,0
Taiwan,Reference,pasture (grazed),2045,0.105093327
Taiwan,Reference,pasture (other),2045,7.66474224
Taiwan,Reference,shrubs,2045,0.04069511
Taiwan,Reference,urban,2045,2.17347
Global,Reference,biomass,2045,429.8006054
Global,Reference,crops,2045,12431.19854
Global,Reference,forest (managed),2045,3519.122402
Global,Reference,forest (unmanaged),2045,27028.52126
Global,Reference,grass,2045,19457.92869
Global,Reference,otherarable,2045,2806.89552
Global,Reference,pasture (grazed),2045,3061.743266
Global,Reference,pasture (other),2045,29711.85204
Global,Reference,rock and desert,2045,14720.50955
Global,Reference,shrubs,2045,11599.78318
Global,Reference,tundra,2045,6343.401295
Global,Reference,urban,2045,575.4869527
China,Reference,biomass,2050,11.82671848
China,Reference,crops,2050,1092.514482
China,Reference,forest (managed),2050,463.7195033
China,Reference,forest (unmanaged),2050,1081.565813
China,Reference,grass,2050,974.3149733
China,Reference,otherarable,2050,37.75955433
China,Reference,pasture (grazed),2050,535.8180869
China,Reference,pasture (other),2050,3367.514179
China,Reference,rock and desert,2050,778.149986
China,Reference,shrubs,2050,566.4762722
China,Reference,tundra,2050,323.5781199
China,Reference,urban,2050,59.8724267
Taiwan,Reference,biomass,2050,0.000939588
Taiwan,Reference,crops,2050,1.896494482
Taiwan,Reference,forest (managed),2050,0
Taiwan,Reference,forest (unmanaged),2050,21.58262316
Taiwan,Reference,grass,2050,1.783475
Taiwan,Reference,otherarable,2050,0
Taiwan,Reference,pasture (grazed),2050,0.084355102
Taiwan,Reference,pasture (other),2050,7.73780179
Taiwan,Reference,shrubs,2050,0.04085538
Taiwan,Reference,urban,2050,2.17347
Global,Reference,biomass,2050,578.5163661
Global,Reference,crops,2050,12504.07816
Global,Reference,forest (managed),2050,3609.59251
Global,Reference,forest (unmanaged),2050,26964.89176
Global,Reference,grass,2050,19415.45596
Global,Reference,otherarable,2050,2659.40579
Global,Reference,pasture (grazed),2050,3133.194895
Global,Reference,pasture (other),2050,29609.63679
Global,Reference,rock and desert,2050,14720.50955
Global,Reference,shrubs,2050,11572.07903
Global,Reference,tundra,2050,6343.401295
Global,Reference,urban,2050,575.4869527
China,Reference,biomass,2055,16.03329891
China,Reference,crops,2055,1065.231785
China,Reference,forest (managed),2055,499.5485992
China,Reference,forest (unmanaged),2055,1078.414457
China,Reference,grass,2055,972.7380916
China,Reference,otherarable,2055,37.01422814
China,Reference,pasture (grazed),2055,532.0802879
China,Reference,pasture (other),2055,3364.628109
China,Reference,rock and desert,2055,778.149986
China,Reference,shrubs,2055,565.8208386
China,Reference,tundra,2055,323.5781199
China,Reference,urban,2055,59.8724267
Taiwan,Reference,biomass,2055,0.000944248
Taiwan,Reference,crops,2055,1.748018195
Taiwan,Reference,forest (managed),2055,0
Taiwan,Reference,forest (unmanaged),2055,21.69248138
Taiwan,Reference,grass,2055,1.787925
Taiwan,Reference,otherarable,2055,0
Taiwan,Reference,pasture (grazed),2055,0.073007019
Taiwan,Reference,pasture (other),2055,7.78322089
Taiwan,Reference,shrubs,2055,0.04095333
Taiwan,Reference,urban,2055,2.17347
Global,Reference,biomass,2055,688.0018013
Global,Reference,crops,2055,12665.37533
Global,Reference,forest (managed),2055,3698.492931
Global,Reference,forest (unmanaged),2055,26917.19594
Global,Reference,grass,2055,19364.43388
Global,Reference,otherarable,2055,2492.808649
Global,Reference,pasture (grazed),2055,3180.49209
Global,Reference,pasture (other),2055,29497.39573
Global,Reference,rock and desert,2055,14720.50955
Global,Reference,shrubs,2055,11542.65239
Global,Reference,tundra,2055,6343.401295
Global,Reference,urban,2055,575.4869527
China,Reference,biomass,2060,19.98224258
China,Reference,crops,2060,1035.66651
China,Reference,forest (managed),2060,535.1830734
China,Reference,forest (unmanaged),2060,1075.900857
China,Reference,grass,2060,971.5451918
China,Reference,otherarable,2060,36.53757808
China,Reference,pasture (grazed),2060,528.1203483
China,Reference,pasture (other),2060,3363.224474
China,Reference,rock and desert,2060,778.149986
China,Reference,shrubs,2060,565.3488679
China,Reference,tundra,2060,323.5781199
China,Reference,urban,2060,59.8724267
Taiwan,Reference,biomass,2060,0.000905039
Taiwan,Reference,crops,2060,1.631514314
Taiwan,Reference,forest (managed),2060,0
Taiwan,Reference,forest (unmanaged),2060,21.776282
Taiwan,Reference,grass,2060,1.791442
Taiwan,Reference,otherarable,2060,0
Taiwan,Reference,pasture (grazed),2060,0.065887888
Taiwan,Reference,pasture (other),2060,7.81949439
Taiwan,Reference,shrubs,2060,0.04103098
Taiwan,Reference,urban,2060,2.17347
Global,Reference,biomass,2060,776.348239
Global,Reference,crops,2060,12777.74715
Global,Reference,forest (managed),2060,3771.985599
Global,Reference,forest (unmanaged),2060,26892.43814
Global,Reference,grass,2060,19321.03532
Global,Reference,otherarable,2060,2359.35745
Global,Reference,pasture (grazed),2060,3223.674719
Global,Reference,pasture (other),2060,29406.50199
Global,Reference,rock and desert,2060,14720.50955
Global,Reference,shrubs,2060,11517.75716
Global,Reference,tundra,2060,6343.401295
Global,Reference,urban,2060,575.4869527
China,Reference,biomass,2065,24.2821225
China,Reference,crops,2065,1005.627393
China,Reference,forest (managed),2065,567.509814
China,Reference,forest (unmanaged),2065,1074.3891
China,Reference,grass,2065,971.0147311
China,Reference,otherarable,2065,36.49330065
China,Reference,pasture (grazed),2065,522.2014445
China,Reference,pasture (other),2065,3364.74964
China,Reference,rock and desert,2065,778.149986
China,Reference,shrubs,2065,565.2414003
China,Reference,tundra,2065,323.5781199
China,Reference,urban,2065,59.8724267
Taiwan,Reference,biomass,2065,0.00089607
Taiwan,Reference,crops,2065,1.538738648
Taiwan,Reference,forest (managed),2065,0
Taiwan,Reference,forest (unmanaged),2065,21.8417313
Taiwan,Reference,grass,2065,1.794238
Taiwan,Reference,otherarable,2065,0
Taiwan,Reference,pasture (grazed),2065,0.061287901
Taiwan,Reference,pasture (other),2065,7.84855671
Taiwan,Reference,shrubs,2065,0.04109282
Taiwan,Reference,urban,2065,2.17347
Global,Reference,biomass,2065,866.1344391
Global,Reference,crops,2065,12862.81277
Global,Reference,forest (managed),2065,3827.28684
Global,Reference,forest (unmanaged),2065,26868.80048
Global,Reference,grass,2065,19284.27859
Global,Reference,otherarable,2065,2251.103498
Global,Reference,pasture (grazed),2065,3258.338173
Global,Reference,pasture (other),2065,29330.24966
Global,Reference,rock and desert,2065,14720.50955
Global,Reference,shrubs,2065,11497.84108
Global,Reference,tundra,2065,6343.401295
Global,Reference,urban,2065,575.4869527
China,Reference,biomass,2070,29.09836203
China,Reference,crops,2070,976.481293
China,Reference,forest (managed),2070,598.9019568
China,Reference,forest (unmanaged),2070,1073.124645
China,Reference,grass,2070,970.6349787
China,Reference,otherarable,2070,36.5356207
China,Reference,pasture (grazed),2070,514.217478
China,Reference,pasture (other),2070,3367.255012
China,Reference,rock and desert,2070,778.149986
China,Reference,shrubs,2070,565.2610886
China,Reference,tundra,2070,323.5781199
China,Reference,urban,2070,59.8724267
Taiwan,Reference,biomass,2070,0.000861838
Taiwan,Reference,crops,2070,1.460177758
Taiwan,Reference,forest (managed),2070,0
Taiwan,Reference,forest (unmanaged),2070,21.8963763
Taiwan,Reference,grass,2070,1.796603
Taiwan,Reference,otherarable,2070,0
Taiwan,Reference,pasture (grazed),2070,0.058066919
Taiwan,Reference,pasture (other),2070,7.87331127
Taiwan,Reference,shrubs,2070,0.04114518
Taiwan,Reference,urban,2070,2.17347
Global,Reference,biomass,2070,961.0984335
Global,Reference,crops,2070,12905.68875
Global,Reference,forest (managed),2070,3863.623101
Global,Reference,forest (unmanaged),2070,26866.07984
Global,Reference,grass,2070,19255.03393
Global,Reference,otherarable,2070,2168.625332
Global,Reference,pasture (grazed),2070,3267.357538
Global,Reference,pasture (other),2070,29277.04698
Global,Reference,rock and desert,2070,14720.50955
Global,Reference,shrubs,2070,11482.29092
Global,Reference,tundra,2070,6343.401295
Global,Reference,urban,2070,575.4869527
China,Reference,biomass,2075,34.81770038
China,Reference,crops,2075,949.6782134
China,Reference,forest (managed),2075,625.7809268
China,Reference,forest (unmanaged),2075,1072.319775
China,Reference,grass,2075,970.5079144
China,Reference,otherarable,2075,36.69021701
China,Reference,pasture (grazed),2075,505.4476281
China,Reference,pasture (other),2075,3370.836704
China,Reference,rock and desert,2075,778.149986
China,Reference,shrubs,2075,565.4301193
China,Reference,tundra,2075,323.5781199
China,Reference,urban,2075,59.8724267
Taiwan,Reference,biomass,2075,0.000860431
Taiwan,Reference,crops,2075,1.395223055
Taiwan,Reference,forest (managed),2075,0
Taiwan,Reference,forest (unmanaged),2075,21.9412015
Taiwan,Reference,grass,2075,1.798565
Taiwan,Reference,otherarable,2075,0
Taiwan,Reference,pasture (grazed),2075,0.055453909
Taiwan,Reference,pasture (other),2075,7.89404902
Taiwan,Reference,shrubs,2075,0.04118863
Taiwan,Reference,urban,2075,2.17347
Global,Reference,biomass,2075,1074.804907
Global,Reference,crops,2075,12959.74116
Global,Reference,forest (managed),2075,3886.96461
Global,Reference,forest (unmanaged),2075,26848.94824
Global,Reference,grass,2075,19227.54128
Global,Reference,otherarable,2075,2089.344589
Global,Reference,pasture (grazed),2075,3266.922162
Global,Reference,pasture (other),2075,29224.58767
Global,Reference,rock and desert,2075,14720.50955
Global,Reference,shrubs,2075,11467.99166
Global,Reference,tundra,2075,6343.401295
Global,Reference,urban,2075,575.4869527
China,Reference,biomass,2080,41.15740403
China,Reference,crops,2080,925.5002323
China,Reference,forest (managed),2080,648.0845374
China,Reference,forest (unmanaged),2080,1071.935739
China,Reference,grass,2080,970.6180244
China,Reference,otherarable,2080,36.9478127
China,Reference,pasture (grazed),2080,496.2606638
China,Reference,pasture (other),2080,3375.276302
China,Reference,rock and desert,2080,778.149986
China,Reference,shrubs,2080,565.729193
China,Reference,tundra,2080,323.5781199
China,Reference,urban,2080,59.8724267
Taiwan,Reference,biomass,2080,0.00087134
Taiwan,Reference,crops,2080,1.34055305
Taiwan,Reference,forest (managed),2080,0
Taiwan,Reference,forest (unmanaged),2080,21.9786737
Taiwan,Reference,grass,2080,1.800221
Taiwan,Reference,otherarable,2080,0
Taiwan,Reference,pasture (grazed),2080,0.053274049
Taiwan,Reference,pasture (other),2080,7.91173139
Taiwan,Reference,shrubs,2080,0.04122537
Taiwan,Reference,urban,2080,2.17347
Global,Reference,biomass,2080,1197.92957
Global,Reference,crops,2080,13016.3238
Global,Reference,forest (managed),2080,3899.686395
Global,Reference,forest (unmanaged),2080,26822.13288
Global,Reference,grass,2080,19203.82115
Global,Reference,otherarable,2080,2018.183122
Global,Reference,pasture (grazed),2080,3252.221638
Global,Reference,pasture (other),2080,29180.45297
Global,Reference,rock and desert,2080,14720.50955
Global,Reference,shrubs,2080,11456.0947
Global,Reference,tundra,2080,6343.401295
Global,Reference,urban,2080,575.4869527
China,Reference,biomass,2085,47.64264771
China,Reference,crops,2085,902.6277505
China,Reference,forest (managed),2085,666.6961485
China,Reference,forest (unmanaged),2085,1072.023538
China,Reference,grass,2085,970.9624286
China,Reference,otherarable,2085,37.33371478
China,Reference,pasture (grazed),2085,487.280921
China,Reference,pasture (other),2085,3380.806781
China,Reference,rock and desert,2085,778.149986
China,Reference,shrubs,2085,566.134736
China,Reference,tundra,2085,323.5781199
China,Reference,urban,2085,59.8724267
Taiwan,Reference,biomass,2085,0.000875221
Taiwan,Reference,crops,2085,1.281341397
Taiwan,Reference,forest (managed),2085,0
Taiwan,Reference,forest (unmanaged),2085,22.0190249
Taiwan,Reference,grass,2085,1.802031
Taiwan,Reference,otherarable,2085,0
Taiwan,Reference,pasture (grazed),2085,0.050733661
Taiwan,Reference,pasture (other),2085,7.93127698
Taiwan,Reference,shrubs,2085,0.04126555
Taiwan,Reference,urban,2085,2.17347
Global,Reference,biomass,2085,1308.141211
Global,Reference,crops,2085,13054.13819
Global,Reference,forest (managed),2085,3899.371732
Global,Reference,forest (unmanaged),2085,26803.40102
Global,Reference,grass,2085,19183.43928
Global,Reference,otherarable,2085,1959.475992
Global,Reference,pasture (grazed),2085,3249.766185
Global,Reference,pasture (other),2085,29143.19815
Global,Reference,rock and desert,2085,14720.50955
Global,Reference,shrubs,2085,11445.91778
Global,Reference,tundra,2085,6343.401295
Global,Reference,urban,2085,575.4869527
China,Reference,biomass,2090,54.70000333
China,Reference,crops,2090,880.5850817
China,Reference,forest (managed),2090,681.2433914
China,Reference,forest (unmanaged),2090,1072.725293
China,Reference,grass,2090,971.6351991
China,Reference,otherarable,2090,37.91764207
China,Reference,pasture (grazed),2090,477.9084737
China,Reference,pasture (other),2090,3388.088647
China,Reference,rock and desert,2090,778.149986
China,Reference,shrubs,2090,566.705122
China,Reference,tundra,2090,323.5781199
China,Reference,urban,2090,59.8724267
Taiwan,Reference,biomass,2090,0.00088197
Taiwan,Reference,crops,2090,1.213638133
Taiwan,Reference,forest (managed),2090,0
Taiwan,Reference,forest (unmanaged),2090,22.0648946
Taiwan,Reference,grass,2090,1.804111
Taiwan,Reference,otherarable,2090,0
Taiwan,Reference,pasture (grazed),2090,0.0477299
Taiwan,Reference,pasture (other),2090,7.95397847
Taiwan,Reference,shrubs,2090,0.04131177
Taiwan,Reference,urban,2090,2.17347
Global,Reference,biomass,2090,1417.711463
Global,Reference,crops,2090,13062.37512
Global,Reference,forest (managed),2090,3887.527592
Global,Reference,forest (unmanaged),2090,26796.49045
Global,Reference,grass,2090,19168.77597
Global,Reference,otherarable,2090,1917.227355
Global,Reference,pasture (grazed),2090,3238.745601
Global,Reference,pasture (other),2090,29119.71164
Global,Reference,rock and desert,2090,14720.50955
Global,Reference,shrubs,2090,11438.28362
Global,Reference,tundra,2090,6343.401295
Global,Reference,urban,2090,575.4869527
China,Reference,biomass,2095,62.51844382
China,Reference,crops,2095,859.5094029
China,Reference,forest (managed),2095,691.7213362
China,Reference,forest (unmanaged),2095,1074.000823
China,Reference,grass,2095,972.5630312
China,Reference,otherarable,2095,38.64803297
China,Reference,pasture (grazed),2095,468.2323166
China,Reference,pasture (other),2095,3396.91709
China,Reference,rock and desert,2095,778.149986
China,Reference,shrubs,2095,567.3999135
China,Reference,tundra,2095,323.5781199
